"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.401" "2" "3.63±1.17" "1"
"2" "site" "MSH_node.401" "4" "2.37±1.17" "1"
"3" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"4" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"5" "site" "SBL_node.407" "19" "22.6±2.42" "1"
"6" "site" "MSH_node.407" "25" "21.4±2.42" "1"
"7" "site" "SBL_node.409" "38" "31.59±2.88" "0.53871"
"8" "site" "MSH_node.409" "22" "28.41±2.88" "1"
"9" "site" "SBL_node.448" "2" "1.31±0.67" "1"
"10" "site" "MSH_node.448" "0" "0.69±0.67" "1"
"11" "site" "SBL_node.450" "16" "8.87±1.86" "0.00084"
"12" "site" "MSH_node.450" "0" "7.13±1.86" "1"
"13" "site" "SBL_node.461" "14" "14.38±2.29" "1"
"14" "site" "MSH_node.461" "12" "11.62±2.29" "1"
"15" "site" "SBL_node.497" "0" "3.7±1.16" "1"
"16" "site" "MSH_node.497" "8" "4.3±1.16" "0.07672"
"17" "site" "SBL_node.533" "0" "0.33±0.47" "1"
"18" "site" "MSH_node.533" "1" "0.67±0.47" "1"
"19" "site" "SBL_node.534" "1" "0.71±0.45" "1"
"20" "site" "MSH_node.534" "1" "1.29±0.45" "1"
"21" "site" "SBL_node.548" "0" "2.6±1.09" "1"
"22" "site" "MSH_node.548" "13" "10.4±1.09" "0.63335"
"23" "site" "SBL_node.566" "0" "1.19±0.69" "1"
"24" "site" "MSH_node.566" "2" "0.81±0.69" "1"
"25" "site" "SBL_node.567" "0" "1.84±0.83" "1"
"26" "site" "MSH_node.567" "5" "3.16±0.83" "1"
"27" "site" "SBL_node.580" "1" "0.53±0.5" "1"
"28" "site" "MSH_node.580" "0" "0.47±0.5" "1"
"29" "temp" "20_node.401" "1" "1.89±1.11" "1"
"30" "temp" "30_node.401" "5" "4.11±1.11" "1"
"31" "temp" "20_node.403" "1" "0.35±0.48" "1"
"32" "temp" "30_node.403" "0" "0.65±0.48" "1"
"33" "temp" "20_node.407" "31" "16.54±2.69" "0.00028"
"34" "temp" "30_node.407" "13" "27.46±2.69" "1"
"35" "temp" "20_node.409" "11" "20.88±2.97" "1"
"36" "temp" "30_node.409" "49" "39.12±2.97" "0.01736"
"37" "temp" "20_node.448" "1" "0.71±0.67" "1"
"38" "temp" "30_node.448" "1" "1.29±0.67" "1"
"39" "temp" "20_node.450" "4" "4.85±1.67" "1"
"40" "temp" "30_node.450" "12" "11.15±1.67" "1"
"41" "temp" "20_node.461" "6" "8.21±2.15" "1"
"42" "temp" "30_node.461" "20" "17.79±2.15" "1"
"43" "temp" "20_node.497" "2" "2.69±1.19" "1"
"44" "temp" "30_node.497" "6" "5.31±1.19" "1"
"45" "temp" "20_node.533" "1" "0.43±0.5" "1"
"46" "temp" "30_node.533" "0" "0.57±0.5" "1"
"47" "temp" "20_node.534" "2" "0.95±0.68" "1"
"48" "temp" "30_node.534" "0" "1.05±0.68" "1"
"49" "temp" "20_node.548" "5" "6.6±1.51" "1"
"50" "temp" "30_node.548" "8" "6.4±1.51" "1"
"51" "temp" "20_node.566" "0" "0.5±0.6" "1"
"52" "temp" "30_node.566" "2" "1.5±0.6" "1"
"53" "temp" "20_node.567" "2" "2.14±1.03" "1"
"54" "temp" "30_node.567" "3" "2.86±1.03" "1"
"55" "temp" "20_node.580" "0" "0.25±0.43" "1"
"56" "temp" "30_node.580" "1" "0.75±0.43" "1"
