"test" "ass." "obs" "exp" "p.obs>exp"
"1" "site" "SBL_node.381" "0" "0.71±0.45" "1"
"2" "site" "MSH_node.381" "1" "0.29±0.45" "1"
"3" "site" "SBL_node.384" "0" "0.53±0.5" "1"
"4" "site" "MSH_node.384" "1" "0.47±0.5" "1"
"5" "site" "SBL_node.386" "1" "1.19±0.69" "1"
"6" "site" "MSH_node.386" "1" "0.81±0.69" "1"
"7" "site" "SBL_node.395" "1" "1.19±0.69" "1"
"8" "site" "MSH_node.395" "1" "0.81±0.69" "1"
"9" "site" "SBL_node.403" "1" "0.71±0.45" "1"
"10" "site" "MSH_node.403" "0" "0.29±0.45" "1"
"11" "site" "SBL_node.414" "2" "1.3±0.67" "1"
"12" "site" "MSH_node.414" "0" "0.7±0.67" "1"
"13" "site" "SBL_node.416" "9" "5.72±1.5" "1"
"14" "site" "MSH_node.416" "1" "4.28±1.5" "1"
"15" "site" "SBL_node.418" "1" "1.19±0.69" "1"
"16" "site" "MSH_node.418" "1" "0.81±0.69" "1"
"17" "site" "SBL_node.419" "1" "4.85±1.47" "1"
"18" "site" "MSH_node.419" "13" "9.15±1.47" "1"
"19" "site" "SBL_node.420" "0" "1.13±0.7" "1"
"20" "site" "MSH_node.420" "2" "0.87±0.7" "1"
"21" "site" "SBL_node.421" "0" "1.13±0.7" "1"
"22" "site" "MSH_node.421" "2" "0.87±0.7" "1"
"23" "site" "SBL_node.423" "1" "0.6±0.49" "1"
"24" "site" "MSH_node.423" "0" "0.4±0.49" "1"
"25" "site" "SBL_node.424" "1" "1.13±0.7" "1"
"26" "site" "MSH_node.424" "1" "0.87±0.7" "1"
"27" "site" "SBL_node.428" "12" "6.76±1.64" "0.0826"
"28" "site" "MSH_node.428" "0" "5.24±1.64" "1"
"29" "site" "SBL_node.434" "5" "3.2±1.05" "1"
"30" "site" "MSH_node.434" "0" "1.8±1.05" "1"
"31" "site" "SBL_node.437" "1" "0.6±0.49" "1"
"32" "site" "MSH_node.437" "0" "0.4±0.49" "1"
"33" "site" "SBL_node.438" "1" "0.6±0.49" "1"
"34" "site" "MSH_node.438" "0" "0.4±0.49" "1"
"35" "site" "SBL_node.439" "3" "2.27±0.98" "1"
"36" "site" "MSH_node.439" "1" "1.73±0.98" "1"
"37" "site" "SBL_node.446" "0" "0.53±0.5" "1"
"38" "site" "MSH_node.446" "1" "0.47±0.5" "1"
"39" "site" "SBL_node.447" "1" "0.6±0.49" "1"
"40" "site" "MSH_node.447" "0" "0.4±0.49" "1"
"41" "site" "SBL_node.450" "8" "4.7±1.36" "1"
"42" "site" "MSH_node.450" "0" "3.3±1.36" "1"
"43" "site" "SBL_node.451" "1" "0.33±0.47" "1"
"44" "site" "MSH_node.451" "0" "0.67±0.47" "1"
"45" "site" "SBL_node.452" "7" "3.84±1.27" "1"
"46" "site" "MSH_node.452" "0" "3.16±1.27" "1"
"47" "site" "SBL_node.483" "1" "0.33±0.47" "1"
"48" "site" "MSH_node.483" "0" "0.67±0.47" "1"
"49" "site" "SBL_node.486" "4" "2.91±1.08" "1"
"50" "site" "MSH_node.486" "1" "2.09±1.08" "1"
"51" "site" "SBL_node.487" "0" "0.6±0.49" "1"
"52" "site" "MSH_node.487" "1" "0.4±0.49" "1"
"53" "site" "SBL_node.488" "0" "0.53±0.5" "1"
"54" "site" "MSH_node.488" "1" "0.47±0.5" "1"
"55" "site" "SBL_node.489" "0" "0.53±0.5" "1"
"56" "site" "MSH_node.489" "1" "0.47±0.5" "1"
"57" "site" "SBL_node.490" "9" "9.46±1.92" "1"
